	target	non_zero
0	Malat1	3004
1	Calm1	2998
2	Actb	2997
3	Hsp90ab1	2993
4	Fth1	2990
5	Ppia	2987
6	Itm2b	2980
7	Son	2970
8	Rps29	2966
9	App	2958
10	Hsp90aa1	2952
11	Fau	2951
12	Ptma	2945
13	Eef1a1	2944
14	Actg1	2943
15	Ddx5	2938
16	Rplp1	2937
17	Tmsb4x	2929
18	H3f3b	2927
19	Sept7	2925
20	Calm2	2920
21	Sec62	2918
22	Lars2	2916
23	Cox4i1	2905
24	Hsp90b1	2898
25	Cox8a	2897
26	Rpl4	2890
27	Cox7c	2889
28	Tuba1a	2886
29	Cox6c	2884
30	Rpl18a	2877
31	Sub1	2872
32	Rpl35	2871
33	Slc25a4	2868
34	Ndufa4	2865
35	Cdc42	2863
36	Hspa8	2862
37	Oaz1-ps	2861
38	Serinc1	2861
39	Rps28	2858
40	Dync1i2	2856
41	Rpl13a	2852
42	Hnrnpa2b1	2844
43	Atp5e	2842
44	Rps3a1	2840
45	Arl6ip1	2839
46	Tpt1	2836
47	Kif1b	2834
48	Eef2	2833
49	Cd81	2833
50	Dynll1	2833
51	Ckb	2833
52	Tcf4	2832
53	Cox6b1	2832
54	Rpl32	2830
55	Rps16	2829
56	Rps3	2829
57	Eif4a2	2828
58	Cox7a2	2826
59	Selk	2825
60	Rplp2	2825
61	Myl6	2823
62	Prnp	2823
63	Ftl1	2818
64	Syt11	2817
65	Gm6654	2814
66	Rps6	2806
67	Atp5b	2804
68	Atp5a1	2802
69	Atp5g3	2801
70	Prdx1	2801
71	Usmg5	2793
72	Rpl24	2791
73	Eif4a1	2788
74	Hmgb1	2785
75	Uqcrq	2782
76	Ndufa3	2781
77	Aldoa	2779
78	Uqcrh	2777
79	Cnbp	2776
80	Map1lc3b	2776
81	Rpl8	2775
82	Dstn	2774
83	Ndufa13	2773
84	Atp5l	2773
85	Hsbp1	2772
86	Rpl31-ps12	2770
87	Gm13826	2768
88	Cfl1	2767
89	Gstp1	2766
90	Atp5j2	2763
91	Ubc	2763
92	Atxn7l3b	2758
93	Gpm6b	2758
94	Tecr	2757
95	Cycs	2755
96	Serf2	2755
97	Rpsa	2754
98	Hnrnpk	2752
99	Eif2s2	2750
100	Atp5j	2749
101	Atp5k	2749
102	Amd2	2748
103	Psap	2746
104	Rpl38	2743
105	Fkbp1a	2743
106	Aplp1	2742
107	Rps9	2739
108	Rpl23	2737
109	Rps25	2737
110	Atp6ap1	2737
111	Skp1a	2735
112	Atp6v0b	2734
113	2010107E04Rik	2731
114	Uqcr10	2731
115	Rps18	2730
116	Dnaja1	2730
117	Scd2	2730
118	Rps24	2729
119	Gnas	2729
120	Rps14	2728
121	Ywhaq	2726
122	Shfm1	2723
123	Rps5	2722
124	Rbm39	2720
125	Tmem50a	2719
126	Atp5c1	2716
127	Ndufa2	2716
128	Uqcr11	2716
129	Pabpc1	2715
130	Ywhaz	2711
131	Atp6v1a	2710
132	Ncam1	2710
133	H3f3a	2708
134	Atp6v1g1	2706
135	Canx	2705
136	Psmb1	2705
137	Rbx1	2700
138	Sptbn1	2697
139	Mdh1	2695
140	Chchd2	2691
141	Serinc3	2686
142	Tceb2	2684
143	Srp14	2681
144	Vcp	2680
145	Brk1	2680
146	Atp6v0c-ps2	2677
147	Mif	2677
148	Gabarapl2	2675
149	Hspa5	2675
150	Mpc1	2675
151	Kif1a	2672
152	Rtn4	2672
153	Atp5h	2671
154	Rpl39	2668
155	Myeov2	2668
156	Rpl41	2667
157	Ywhae	2666
158	Ank3	2664
159	Gm5506_loc1	2663
160	Atp5f1	2662
161	Rps13	2662
162	Akr1a1	2658
163	Atp6ap2	2657
164	Sumo2	2656
165	Cst3	2656
166	Tma7	2655
167	Tuba1b	2655
168	Ndufa7	2653
169	Rtn3	2653
170	Rpl19	2651
171	Srsf5	2650
172	Spcs1	2649
173	Mbnl2	2646
174	Tspan3	2645
175	Arpc1a	2643
176	Aplp2	2641
177	Pea15a	2641
178	Ndufb9	2641
179	Atp5o	2640
180	Rps20	2640
181	Psma7	2639
182	Calm3	2638
183	Matr3	2636
184	Gm6402	2633
185	Fis1	2633
186	Atp6v1e1	2631
187	Mapt	2630
188	Pfdn5	2630
189	Sf3b1	2629
190	Ndufb11	2627
191	Ghitm	2626
192	Tcf25	2625
193	Ttc3	2625
194	Ndufa6	2624
195	Cox7b	2624
196	Grcc10	2623
197	Pura	2623
198	Atp2b1	2621
199	Tmem59	2617
200	Rps21	2616
201	Gpx4	2616
202	Eif1	2615
203	Rbm25	2610
204	Minos1	2608
205	Ndufa11	2606
206	Ndufa5	2606
207	H2afz	2601
208	Prkar1a	2599
209	Btf3	2598
210	Ndufa12	2596
211	Ndufc2	2595
212	Psmb6	2595
213	Rpl7	2594
214	Hint1	2593
215	Pgk1	2593
216	Rab14	2592
217	Cox17	2592
218	Eif4g2	2592
219	Ubl5	2591
220	Ppib	2589
221	Eif3c	2589
222	Prdx2	2588
223	Prrc2c	2587
224	Dynlrb1	2586
225	Nmt1	2583
226	2900097C17Rik	2583
227	Gpi1	2582
228	Ptn	2577
229	Naca	2576
230	Cox6a1	2573
231	Hmgcs1	2573
232	Atp6v1f	2573
233	Nedd4	2571
234	Dpysl2	2571
235	Myl12b	2567
236	Pdap1	2567
237	Gnao1	2567
238	Trim2	2565
239	Ndufc1	2562
240	Nptn	2561
241	Ldhb	2559
242	Elavl3	2559
243	Ndufb4	2557
244	Eef1b2	2556
245	Tmem30a	2552
246	Csnk2a1	2552
247	Srrm1	2552
248	Csde1	2551
249	Uba52	2549
250	Lamp1	2549
251	Eif4g3	2548
252	Gm15772	2547
253	Arf1	2547
254	Gpm6a	2545
255	Psmc3	2544
256	Metap2	2543
257	Fam168a	2543
258	Dync1h1	2543
259	Mat2a	2542
260	Atpif1	2541
261	Sec61g	2541
262	Rpl36al	2541
263	BC031181	2540
264	Atp2a2	2539
265	Bnip3l	2539
266	Nedd8	2537
267	Rnasek	2537
268	Tmem66	2537
269	Ndufb10	2536
270	Luc7l3	2533
271	Tpi1	2533
272	Ndufv3	2533
273	Ppp2r1a	2532
274	Rpl27	2530
275	Sdhb	2529
276	Ndufb5	2529
277	Sfrs18	2528
278	Sparcl1	2528
279	Pomp	2527
280	Uqcrc2	2527
281	Rps12	2527
282	Meg3	2526
283	Ran	2526
284	Park7	2523
285	Ubb	2523
286	Mdh2	2523
287	Taldo1	2523
288	Nme2	2519
289	Ndufa1	2517
290	Dad1	2514
291	Ndufs7	2511
292	Cpe	2510
293	Ptprd	2510
294	Psma3	2509
295	Slc25a5	2509
296	Atrx	2508
297	Zranb2	2508
298	Cbx3	2508
299	Hnrnpc	2507
300	Vps29	2504
301	Psmd7	2502
302	Hspe1	2502
303	Ndufs6	2502
304	Rps27a	2500
305	Morf4l2	2497
306	Ndufb8	2494
307	Psmb2	2494
308	Ywhab	2494
309	BC002163_loc1	2492
310	Ctsl	2491
311	Vmp1	2491
312	Sh3bgrl3	2489
313	Kmt2e	2488
314	Sumo1	2488
315	Serbp1	2487
316	Vps35	2487
317	Zeb2	2486
318	Clcn3	2486
319	Tomm7	2484
320	Rpl5	2483
321	Acot7	2481
322	Gdi1	2480
323	Camk2n1	2480
324	Ctsd	2480
325	Psma5	2480
326	Erh	2479
327	Cetn3	2479
328	Cisd1	2479
329	Gria2	2478
330	Nap1l1	2476
331	Capza2	2476
332	Gm6682	2472
333	Hypk	2472
334	Sdha	2471
335	Pja2	2470
336	Clcn4-2	2468
337	Tnrc6b	2467
338	Map1b	2467
339	Rps23	2467
340	G3bp2	2463
341	Timm8b	2462
342	Top1	2460
343	Slc25a3	2458
344	Gstm5	2457
345	Spag9	2457
346	Nme1	2457
347	Npm1	2456
348	Tspan7	2456
349	Gabarap	2455
350	Cltc	2453
351	Tmbim6	2453
352	Prkcb	2451
353	Slc1a2	2451
354	Polr2l	2450
355	Ssb	2447
356	Map1a	2446
357	Tppp	2445
358	Ppp3ca	2445
359	Cox7a2l	2444
360	Rnf7	2443
361	Ndufv2	2443
362	1810037I17Rik	2440
363	Psma4	2439
364	1110004F10Rik	2438
365	Rps15a-ps4	2434
366	Ccdc88a	2433
367	Scg5	2432
368	Sod1	2432
369	Mrps33	2432
370	Vdac2	2430
371	Purb	2430
372	Sars	2429
373	Cct5	2429
374	Slc22a17	2428
375	Paip2	2428
376	Vdac3	2428
377	Cct7	2428
378	Ctsb	2428
379	Pkm	2427
380	Tmod2	2426
381	Sept15	2426
382	Pcdh9	2425
383	Egr1	2425
384	Sdcbp	2424
385	Gnb2l1	2424
386	Rpl35a	2422
387	Gabarapl1	2419
388	Scp2	2419
389	Rab6a	2417
390	Ndufb7	2417
391	Gm15421	2414
392	Gtf2h5	2413
393	Prpf4b	2413
394	Actr10	2412
395	Tubb5	2410
396	Ier3ip1	2409
397	Oxct1	2408
398	Rab2a	2406
399	Atp6v1d	2405
400	Eif3a	2404
401	Atox1	2403
402	Sv2a	2402
403	Higd1a	2401
404	Rps11	2400
405	Srsf3	2396
406	Gm12191	2396
407	Higd2a	2395
408	Pfn2	2394
409	Ppp1ca	2394
410	Prkacb	2394
411	Zcchc17	2393
412	Tbca	2392
413	Aco2	2392
414	Glo1	2391
415	Psma2	2391
416	Atp5g2	2389
417	Chchd1	2389
418	Hnrnpu	2389
419	Rpl37a	2388
420	Tcp1	2387
421	Atp1b1	2387
422	Tmem258	2386
423	Ppp1cb	2385
424	Ndufv1	2385
425	Ddx6	2383
426	Rsrc2	2379
427	Ndufb6	2379
428	Ubl3	2379
429	D8Ertd738e	2378
430	Tmem256	2378
431	Sfr1	2376
432	Bsg	2376
433	Srrm2	2376
434	Ndufa8	2376
435	Fabp5	2375
436	Stmn4	2374
437	Coa3	2371
438	Napa	2371
439	Rpl13	2370
440	Bzw1	2370
441	Ndufb3	2370
442	Pafah1b1	2370
443	Cct8	2369
444	Ntm	2368
445	Eif3k	2367
446	Tax1bp1	2365
447	Lrpap1	2365
448	Psmc5	2363
449	Gm9846	2362
450	Nudt3	2361
451	Pdha1	2361
452	Pgam1	2361
