TF	target	importance
Gm14305	OTTMUSG00000016609_loc3	199.40469954488373
Gm14305	OTTMUSG00000016609_loc4	193.634840141082
Dab2	Mrc1	104.71861318205721
Dab2	Pf4	101.62382409917173
Mef2c	Camk2n1	100.14976545841311
Mylk	Myl9	96.76079628649804
Rpl35	Rpl18a	95.71642549050031
Dab2	Tyrobp	94.04792313225585
Rpl35	Rpl32	93.40829121882028
Dab2	Lyz2	92.35452604307368
Mef2c	Arpp21	91.54081774314244
Dab2	C1qb	91.39374990276036
Dab2	Stab1	90.46766791006725
Rpl35	Rps29	88.26357849074826
Dab2	Sepp1	88.09106464264438
Mef2c	Arpp19	86.75852025778082
Dab2	Cbr2	84.91671638263702
Cers2	Plp1	84.63679599886092
Rpl35	Rps6	84.26557292065127
Dab2	Ms4a7	83.05399111885399
Mylk	Tagln	82.98230702046483
Rpl35	Rps3a1	82.5371356515689
Rpl35	Rps28	80.46897748416556
Rpl35	Rps20	79.74121923011906
Mef2c	Car10	78.36274277080162
Maf	Dab2	77.68604472694531
Rpl35	Rplp1	77.52879054682414
Dab2	C1qc	77.09931887698073
Nr4a2	Gnb4	77.01719021634852
Cers2	Tspan2	75.14959617267506
Olig1	Tspan2	75.07627427987732
Mylk	Acta2	74.78844493913064
Rpl35	Rpl37a	73.77264110756474
Mef2c	Osbpl1a	73.34887492383223
Rpl35	Rps9	73.06410672941804
Cers2	Mobp	72.79627906159523
Mef2c	Atp1a1	72.61539370503093
Rpl35	Rps15a-ps4	72.26846326923113
Rpl35	Rps18	71.91455454086405
Rpl35	Rps3	71.83406492705993
Dab2	Clec4n	71.67181949446507
Rpl35	Gm6654	71.64073298805603
Dab2	Maf	71.60815099200858
Dab2	Apoe	71.53485525253687
Mef2c	Arhgap32	70.68064368905742
Cers2	Gsn	70.66656111306851
Tsnax	Plk5	70.45240121398209
Mylk	Myh11	70.40892689959506
Dab2	C1qa	69.48960156318209
Rpl35	Rps14	68.81310779031296
Dab2	Fcer1g	68.49202859676038
Nr4a2	Synpr	68.44047816742463
Cers2	Cnp	68.16773800113292
Dab2	Fcgr2b	67.6698748615442
Cers2	Ugt8a	67.66679882622589
Dab2	Ctsc	67.58760276134164
Mef2c	Atp2b2	67.41485780779304
Olig1	Cldn11	67.28031100305834
Fos	Egr1	67.18256398162191
Cycs	Atp5k	66.6798457059802
Rpl35	Fau	66.67609279444221
Dab2	F13a1	66.27358987704966
Dab2	Hpgd	66.1204636275807
Olig1	Mag	65.99001054397596
Rpl35	Rpl31-ps12	65.80630360620825
Dab2	Laptm5	65.7778560208345
Dab2	Rps29	65.5402831405093
Mylk	Crip1	65.35384077582302
Cycs	Cox7a2	64.94383906203609
Dab2	Grn	64.74398531494663
Cycs	Cox6b1	64.708665604159
Mef2c	Gabrd	64.64384231887041
Cers2	Tmeff2	64.5173117075855
Dab2	Ftl1	64.43245018820427
Cers2	Rnf13	64.1642146602493
Mylk	Tpm2	64.14255680932972
Dab2	Fcrls	64.01657057825999
Dab2	Fcgrt	63.98155790910026
Cycs	Atp5j	63.44509272740953
Dab2	Fcgr3	63.13781818718589
Olig1	Cnp	62.77136622491935
Rpl35	Gm13826	62.75832055686213
Fos	Fosb	62.62684454787428
Rpl35	Rpl39	62.578463228861764
Fosb	Fos	62.34434946396243
Nr4a2	Lxn	62.203132639733205
Cers2	Mog	61.90585015043584
Cers2	Opalin	61.8088331971817
Zbtb18	Ppp3ca	61.240826353895905
Mef2c	Prkacb	60.60135089776238
Mef2c	Rgs4	60.2166794483575
Dab2	Tgfbi	60.07861846512316
Dab2	Csf1r	59.54764248817069
Ascc1	Dynlrb2	59.42166190754073
Dab2	Emr1	59.36739801561477
Ascc1	Fam183b	59.35974740504311
Cd59a	Apod	59.3563724240914
Ascc1	Fam216b	59.26183473717649
BC005561	Srrm2	59.14269710160545
Dab2	Blvrb	59.11783287033227
Tcf7l2	Rnf122	59.10502906457507
Cers2	Elovl1	58.85831463793264
Mef2c	Slc30a3	58.68325309147884
Dab2	Txnip	58.560201443576794
Id4	Clu	58.540088415861774
Cers2	Sept4	58.51362161901838
Cycs	Cox7c	58.48405976086612
Ascc1	Mlf1	58.33489565399712
Dab2	Ctsb	58.305189745587754
Cers2	Mbp	58.29103432647785
Mylk	Tpm1	58.26838191769502
Mef2c	Stx1a	58.25672436656967
Dab2	Cd68	58.205519292121096
Mylk	Mustn1	58.02527230026056
Fez1	Fth1	57.96276256163033
Cers2	2810468N07Rik	57.858849937663706
Rpl35	Rps24	57.77892974089698
Id4	Slc1a2	57.77870336102933
Dab2	Gmfg	57.71606247345015
Cycs	Ndufc1	57.557169818049395
Gm14305	OTTMUSG00000016609_loc5	57.492457995749575
Dab2	Ms4a6b	57.436883142451876
Cers2	Olig1	57.40009962516717
Olig1	Cers2	57.35054228294002
Gm14305	OTTMUSG00000016609_loc2	57.173070782478355
Tcf7l2	Enpp6	57.09697813887264
Cycs	Mdh1	56.963810745155754
Id4	Ntsr2	56.90684884274654
Egr1	Fos	56.759384853751115
Dab2	Cfh	56.75453976641984
Cycs	Atp5l	56.68706925688925
Id4	Aldoc	56.503908511427404
Cycs	Usmg5	56.361159727258446
Mef2c	Lamp5	56.16921624447867
Olig1	Ppp1r16b	56.167333308574726
Dab2	Unc93b1	56.05493372595837
Cycs	Atp5o	56.0526840264743
Dab2	Adrb2	56.02173161952076
Rpl35	Ost4	56.01179085778125
Cers2	Cd81	55.92549778575195
Mef2c	Olfm1	55.899280590669576
Rpl35	Sec61g	55.76678140408173
Rpl35	Atox1	55.60862960686615
Cers2	Cmtm5	55.57712500021151
Cers2	Sypl	55.3217654604636
Rpl35	Gm9846	55.26174178234143
Tcf7l2	Itpr2	55.115094658499885
Cycs	Atp5g1	54.98512365066064
Cycs	Ndufa5	54.96769489950814
Rpl35	Rps13	54.962655253957564
Zbtb18	Epha4	54.960840609523494
Nmral1	Ermn	54.89936846327423
Id4	Tmem47	54.77725720753313
Cycs	Uqcr10	54.601547106117295
Ascc1	Ccdc153	54.4999858587914
Rpl35	Rps23	54.48619421112641
Mef2c	Pvrl3	54.481187757045475
Id4	Sparcl1	54.271626758781096
Ascc1	Rsph4a	54.10391011580653
Ascc1	1700094D03Rik	54.103121209762726
Rpl35	Gm6402	53.99831747574545
Olig1	Plekha1	53.96338980747968
Ascc1	Mns1	53.95034558101711
Rpl35	Rpl41	53.93823412618766
Rpl35	Rpl38	53.875409754464314
Mef2c	Pmepa1	53.84285791603754
Dab2	Ehd4	53.73682530936444
Cycs	Atp5c1	53.716143588526215
Mef2c	Sorbs2	53.68884129791518
Cycs	Uqcrh	53.582492671253995
Cycs	Cox6c	53.55225082157075
Olig1	Ctps	53.55053484786995
Egr1	Nr4a1	53.532909605238686
Rpl35	Shfm1	53.491420866258196
Id1	Id3	53.288731349494924
Celf6	Cnr1	53.18767368492772
Dab2	Lyve1	52.808648881015145
Mef2c	Kcnv1	52.74016720912356
Mef2c	Zdhhc8	52.729291993198075
Gm14305	OTTMUSG00000016609_loc6	52.672445190500454
Mef2c	Pdzrn3	52.67014988795777
Hmgb2	Cks2	52.65466373602291
Ascc1	Dbi	52.628394318095424
Rpl35	Rpl35a	52.55176346298815
Id4	Aqp4	52.52631148217391
Nxph3	Sec62	52.30395695494149
Cers2	Mal	52.28995965444535
Dab2	B2m	52.23106205218492
Rorb	Plcxd2	52.16948765283625
Rpl35	Rpl27	52.13807609695348
Nxph3	Ncald	52.12269914668628
Olig1	Sh3gl3	52.09066849106501
Tcf7l2	Frmd4a	52.037049679379784
Mef2c	Dusp14	51.99144061746733
Id4	Mt2	51.92651075581272
Rpl35	Rpl36a	51.92019438772136
Olig1	Kndc1	51.86288654535458
Id4	Glud1	51.715673609611606
Fos	Jun	51.630818841065135
Zbtb18	Atp2b1	51.6271486865393
Celf6	Trp53i11	51.48883268293232
Dab2	Rnase4	51.25401847630944
Mef2c	Pcsk2	51.23866349946702
Id4	Gstm1	51.18652327788413
Cd59a	Pmp22	51.18518511664006
Olig1	Tspan15	51.1067374405654
Olig1	Serinc5	51.09823129446434
Hmgb1	H3f3a	51.085594451054355
Cers2	Pdlim2	51.04191610392585
Hmgb1	Dynll1	51.0156474059968
Dab2	Aif1	50.84916082154203
BC005561	Sfrs18	50.84650133895313
Olig1	Clic4	50.73189869524416
Mylk	Flna	50.68923077159921
Nme1	Atpif1	50.679916185331976
Cers2	Csrp1	50.66616056332429
Cycs	Ndufa13	50.60314182949441
Rorb	Camk4	50.513855067100664
Mef2c	Efna5	50.50816825494515
Cers2	Scd2	50.47963061817238
Rpl35	Rps19	50.44622885082698
Id4	Mt1	50.42532518823237
Olig1	Lgi3	50.34249975413393
Cd59a	S100b	50.142739536235496
Mylk	Lamb2	49.93340748670794
Foxp2	Tbr1	49.88397246726219
Mef2c	Gtdc1	49.819827736694585
Cers2	Bpgm	49.7544430411454
Rpl35	Rpl24	49.61353113253028
Cers2	Taldo1	49.5675660620199
Rpl35	Rpl34-ps1	49.44881568127302
Mef2c	Nr2f1	49.410032272754925
Id4	Ndrg2	49.353618233667326
Dab2	Cd209f	49.35149891826329
Id4	Mlc1	49.303017455264566
Olig1	Nfasc	49.28189048185458
Rpl35	Rpl7	49.25623044876951
Mef2c	3110047P20Rik	49.22145646795539
Olig1	Qk	49.21691789212559
Cycs	Ndufb9	49.20078754160712
Mef2c	Camkk2	49.177612182500624
Dab2	Clec10a	49.11770338232604
Id4	Slc4a4	48.990378186093224
Dab2	Abca1	48.966493482593236
Msx1	Gpx8	48.869622939399164
Rpl35	Rps16	48.77293386235734
Olig1	Mcam	48.62790648226852
Tbr1	Hs3st2	48.61580747451023
Cycs	Ndufa12	48.54398285574004
Cycs	Atp5f1	48.52893242654048
Rpl35	Eef1a1	48.502656257475095
Cers2	Npc2	48.49215141349493
Npas4	Arc	48.488674812983916
Mylk	Ptrf	48.48528332603631
Cers2	Dbndd2	48.41273174567939
Cers2	Slc48a1	48.3849942495948
Mef2c	Dact2	48.35064634175816
Cycs	Sdhb	48.33816954783295
Nxph3	Tle4	48.16820526276303
Tcf7l2	Mpzl1	47.99312902985636
Dab2	Lst1	47.855405657741755
Mef2c	Arhgap20	47.840807433723405
Tcf4	Gnao1	47.82982236887375
Zbtb18	Epha7	47.79010361420511
Dab2	Pld4	47.71750458570817
Ywhae	Gm1821_loc2	47.717186752184716
Ywhae	Cfl1	47.69538134866595
Cers2	Cyp51	47.64419440992659
Celf6	Cplx2	47.56524716558808
Mef2c	Pcdh7	47.50968937826275
Olig1	Cd81	47.503674483416766
Ywhae	Rbfox1	47.49771395498504
Ascc1	Ak7	47.41952751672726
Rpl35	Rpl23	47.41643953311533
Gm14305	OTTMUSG00000016609_loc1	47.374601296209455
Cers2	Mag	47.33517453415022
Cycs	Uqcr11	47.3227589531592
Dab2	Cd36	47.25166147227783
Jun	Fos	47.172958898116676
Dab2	Hexa	47.14961222655438
Cycs	Atp5j2	47.09931269882998
Dab2	C5ar1	47.035463051789
Cycs	Ndufa11	47.030364544011874
Nmral1	Rnf13	47.00398702262646
Dab2	Cyba	46.9621100088727
Mef2c	Pdp1	46.95593085807578
Cycs	Ldhb	46.95271281815815
Id4	Prdx6	46.92201482330645
Mef2c	Cacna1a	46.842065291682495
Foxj1	Tmem212	46.779175422248734
Cycs	Ndufa2	46.70090470570236
Jun	Fosb	46.674553147279326
Dab2	Ctsa	46.65897146487841
Zbtb18	Wipf3	46.61946811627428
Cers2	Cldn11	46.59471689282557
Tcf7l2	Peli1	46.579213667225495
Prnp	Camkv	46.561015716373696
Olig1	Slc12a2	46.54207058278533
Foxp1	Lmo4	46.53462493664632
Cycs	Ndufa4	46.46645447057314
Olig1	Mobp	46.456910838405506
Olig1	Rdx	46.44529630419519
Pkm	Pgam1	46.443620285920744
Mef2c	Kcnh1	46.39750553924214
Cycs	Cox4i1	46.366399509643976
Dab2	Cybb	46.2719785865039
Tagln2	Vim	46.21578368664176
Maf	Ms4a7	46.20751210357248
Runx1	C1qc	46.204592698011375
Olig1	Plp1	46.110310506985876
Cers2	Lgi3	46.01850906226863
Ascc1	1700009P17Rik	45.9618466766592
Rpl35	Rps25	45.94129076581048
Cycs	Uqcrq	45.907988072372135
Olig1	Lpar1	45.85716273630815
Cycs	2010107E04Rik	45.79102059768882
Dab2	Gas6	45.78815674517317
Mef2c	Negr1	45.73313824677929
Mef2c	Ttl	45.707438421597985
Mapk1	Ywhah	45.62476841386147
Cers2	Ermn	45.58809730880573
Foxj1	Ccdc153	45.576245079046366
Mef2c	Gp1bb	45.48297169954656
Olig1	Tmeff2	45.48255803082521
Olig1	Mbp	45.466374298373665
Olig1	Olig2	45.39423650712272
Hmgb1	Rps3	45.333207345435575
Mef2c	Nrgn	45.25864659475823
