Tspan12	Tshz1	Fnbp1l	Adamts15	Cldn12	Rxfp1	2310042E22Rik	Sema3c	Jam2	Apbb1ip	Frem2	BC005764	Deptor	C130030K03Rik	Klhl13	Tnfaip8l3	Ascl1	Atp1b2	Tmem132e	Prkar2b	Necab1	Nr2f2	Stmn1-rs1	Shisa9	Sub1	Vat1l	Pcdh18	Dpysl5	Cxcl14	Ptprf	Cers5	Nacc2	Cntnap2	Asic4	Tph2	Rit2	Scg2	Nr2e1	Bmp3	B3galnt1	Gm9846	Kcnn1	Fam19a2	Samd4	Stmn1	Egln3	Bmper	Cd200	1810041L15Rik	Rnf128
0	3	3	0	1	0	0	11	1	0	0	0	1	0	3	0	0	9	0	5	13	0	3	7	28	0	0	2	22	0	0	0	1	0	1	2	116	0	0	0	7	0	3	0	18	1	0	1	0	4
0	1	1	0	1	0	0	0	0	0	0	3	0	0	2	0	0	5	0	1	0	20	0	4	41	0	1	0	18	0	0	20	1	1	0	6	12	0	0	0	17	0	0	0	17	1	0	1	0	2
0	0	6	0	1	0	2	25	1	0	0	1	1	0	1	0	0	8	0	14	33	3	0	8	57	0	0	2	26	4	7	5	10	6	0	3	46	3	0	2	9	0	1	5	6	0	0	10	0	6
3	2	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	6	1	5	2	18	3	5	33	0	0	1	93	1	1	14	8	3	0	1	48	2	0	1	9	0	5	1	13	1	0	2	9	4
0	2	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	0	21	3	5	2	1	30	0	0	0	0	5	0	9	8	5	0	12	67	1	0	2	3	3	0	4	8	0	0	9	0	2
0	2	2	0	0	1	0	0	1	0	0	2	0	2	2	0	1	9	0	3	0	30	3	3	13	0	2	3	22	2	1	22	11	1	6	2	23	0	0	5	2	0	3	0	7	0	1	3	4	4
3	2	1	0	0	0	0	7	0	1	0	3	1	0	7	0	0	0	2	11	8	2	6	9	27	6	0	0	29	0	2	5	4	7	0	2	54	3	2	5	13	0	15	0	13	2	1	7	0	4
0	1	0	0	0	0	0	0	0	0	1	4	0	0	6	0	0	3	0	2	1	12	0	2	17	0	1	0	9	4	0	14	17	0	0	2	15	1	0	1	2	0	6	2	11	2	1	4	0	2
0	0	5	0	2	1	0	8	1	0	0	0	2	0	14	0	0	6	0	16	5	0	3	3	23	3	4	1	2	0	0	0	5	2	4	10	77	6	0	1	8	0	0	0	7	0	0	1	0	0
0	2	2	0	3	0	0	28	0	0	0	0	0	2	14	2	4	4	0	2	2	12	3	2	31	0	5	7	9	10	0	1	0	0	2	7	34	0	0	1	11	0	0	0	26	0	2	6	1	2
2	1	4	0	0	0	0	9	0	0	0	0	0	3	14	0	0	0	0	5	0	2	1	3	34	0	3	2	1	1	4	0	4	3	0	8	52	0	0	2	4	0	0	0	20	0	0	6	0	0
0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	8	0	3	0	0	36	0	3	1	0	3	1	3	4	0	0	13	25	0	0	5	10	0	0	0	8	1	0	11	6	2
0	1	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	11	0	2	0	13	1	0	21	0	1	1	0	1	3	4	4	0	0	5	23	0	0	3	9	0	3	2	16	0	0	2	4	2
0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	2	1	0	0	25	0	2	2	0	6	2	0	3	0	0	2	13	0	0	0	1	0	0	1	3	0	0	6	0	1
0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	25	0	4	1	0	2	5	2	1	0	0	12	77	0	0	1	3	0	0	3	4	0	0	0	0	3
0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	29	0	8	0	0	2	0	4	7	0	0	17	63	0	0	1	7	0	0	3	0	0	0	2	0	1
